case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
CR1,cold_resilience,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,13201.6050,0.0005,0.0000,,False,,
CR2,cold_resilience,fc_loop,1,True,True,True,3,1,search_properties,,search_properties,13018.1912,0.0002,0.0000,,False,,
CR3,cold_resilience,fc_loop,1,True,True,True,1,1,check_safety|web_search,,check_safety|search_nearby_pois|web_search,27037.6635,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,1,False,False,True,4,3,search_properties|compare_or_rank_areas|search_properties,,search_properties|compare_or_rank_areas|search_properties|web_search,27038.1984,0.0005,0.5000,web_search:batch,True,must_mention_source,
CR5,cold_resilience,fc_loop,1,False,True,True,4,3,search_properties|get_property_details|calculate_commute|check_safety|search_nearby_pois|search_nearby_pois,,search_properties|get_property_details|calculate_commute|check_safety|search_nearby_pois|search_nearby_pois|search_nearby_pois,27040.4838,0.0008,0.0000,search_nearby_pois:batch,True,room_type_match|must_mention_source,
CR1,cold_resilience,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,9954.7466,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,2,True,True,True,3,1,search_properties,,search_properties,11480.1249,0.0002,0.0000,,False,,
CR3,cold_resilience,fc_loop,2,True,True,True,1,1,check_safety|web_search,,check_safety|search_nearby_pois|web_search,27047.8656,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,2,False,False,True,5,4,search_properties|compare_or_rank_areas|web_search|web_search,,search_properties|compare_or_rank_areas|web_search|web_search,25050.0760,0.0007,0.0000,,True,must_mention_source,
CR5,cold_resilience,fc_loop,2,False,False,True,3,1,search_properties,,search_properties,13626.7067,0.0005,0.0000,,False,room_type_match|must_mention_source,
CR1,cold_resilience,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,9770.9591,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,3,True,True,True,3,1,search_properties,,search_properties,11353.9126,0.0003,0.0000,,False,,
CR3,cold_resilience,fc_loop,3,True,False,True,1,1,check_safety|get_weather|get_transport_info|get_transport_info|get_transport_info,,check_safety|search_nearby_pois|get_weather|get_transport_info|get_transport_info|get_transport_info,27044.0721,0.0002,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,3,False,False,True,5,2,search_properties|compare_or_rank_areas,search_properties,search_properties|compare_or_rank_areas|search_properties,27043.5887,0.0006,0.0000,,True,must_mention_source,
CR5,cold_resilience,fc_loop,3,False,False,True,3,1,search_properties,,search_properties,17156.1630,0.0004,0.0000,,False,room_type_match|must_mention_source,
