case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
H1,H_guard_regression,fc_loop,1,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,10028.0450,0.0002,,,False,,
H2,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,4693.7494,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,1,True,False,True,4,2,web_search|web_search,,web_search|web_search,12522.3141,0.0003,,,False,,
H4,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,2494.3666,0.0001,,,False,,
H5,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,6154.2346,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,2962.1400,0.0002,,,False,,
H7,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3254.5775,0.0001,,,False,,
H8,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,783.5215,0.0000,,,False,,
H9,H_guard_regression,fc_loop,1,True,False,True,4,3,get_transport_info|check_transport_cost|get_transport_info,,get_transport_info|check_transport_cost|get_transport_info,6049.2821,0.0003,,,False,,
H10,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,16.2402,0.0000,,,False,,
H11,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,15.5352,0.0000,,,False,,
H12,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1806.4485,0.0001,,,False,,
H13,H_guard_regression,fc_loop,1,True,True,True,3,1,search_properties,remember,search_properties|remember,4762.5358,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1508.4590,0.0001,,,False,,
H1,H_guard_regression,fc_loop,2,True,False,True,5,3,compare_or_rank_areas|search_properties|search_properties,,compare_or_rank_areas|search_properties|search_properties,27020.6745,0.0005,0.6000,,True,,
H2,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,6046.8442,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,2,True,False,True,4,2,web_search|web_search,,web_search|web_search,12167.2313,0.0003,,,False,,
H4,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,2721.7706,0.0001,,,False,,
H5,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,5238.8862,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,3816.0866,0.0002,,,False,,
H7,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,3007.7530,0.0001,,,False,,
H8,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,774.9905,0.0000,,,False,,
H9,H_guard_regression,fc_loop,2,True,False,True,2,1,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,4279.5780,0.0002,,,False,,
H10,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,40.3237,0.0000,,,False,,
H11,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,15.9114,0.0000,,,False,,
H12,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,932.7773,0.0000,,,False,,
H13,H_guard_regression,fc_loop,2,True,True,True,3,1,search_properties,remember,search_properties|remember,5179.1845,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1521.2875,0.0001,,,False,,
H1,H_guard_regression,fc_loop,3,True,True,True,3,2,compare_or_rank_areas|search_properties,,compare_or_rank_areas|search_properties,6495.0595,0.0004,,,False,,
H2,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,5439.0110,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,3,True,False,True,4,2,web_search|web_search,,web_search|web_search,13116.3559,0.0003,,,False,,
H4,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,5796.0114,0.0004,1.0000,,False,,
H5,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,5600.0559,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3361.0587,0.0002,,,False,,
H7,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3219.9240,0.0001,,,False,,
H8,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,858.4514,0.0000,,,False,,
H9,H_guard_regression,fc_loop,3,True,False,True,2,1,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,4976.7748,0.0002,,,False,,
H10,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,15.5614,0.0000,,,False,,
H11,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,40.4376,0.0000,,,False,,
H12,H_guard_regression,fc_loop,3,True,False,True,3,1,search_properties,,search_properties,7770.9653,0.0004,1.0000,,False,,
H13,H_guard_regression,fc_loop,3,True,True,True,3,1,search_properties,remember,search_properties|remember,5277.0578,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1767.7444,0.0001,,,False,,
