case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
CR1,cold_resilience,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,11515.0835,0.0005,0.0000,,False,,
CR2,cold_resilience,fc_loop,1,False,True,True,3,1,search_properties,,search_properties,9557.7134,0.0003,0.0000,,False,room_type_match_if_evidence,
CR3,cold_resilience,fc_loop,1,True,True,True,2,2,check_safety|web_search|get_transport_info,,check_safety|web_search|search_nearby_pois|get_transport_info,27045.5581,0.0003,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,1,False,False,True,4,3,search_properties|compare_or_rank_areas|web_search,,search_properties|compare_or_rank_areas|web_search,23459.4878,0.0006,0.0000,,True,must_mention_source_if_evidence,
CR5,cold_resilience,fc_loop,1,True,False,True,3,2,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost,,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost|search_nearby_pois,27050.3692,0.0007,0.0000,search_nearby_pois:batch,True,,
CR1,cold_resilience,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,9194.3910,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,2,False,True,True,3,1,search_properties,,search_properties,9492.8611,0.0002,0.0000,,False,room_type_match_if_evidence,
CR3,cold_resilience,fc_loop,2,True,False,True,1,1,check_safety|get_weather,,check_safety|search_nearby_pois|get_weather,27053.1419,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,2,False,False,True,6,2,compare_or_rank_areas|search_properties|web_search,,compare_or_rank_areas|search_properties|web_search|search_properties,40118.0259,0.0005,0.0000,search_properties:batch,True,must_mention_source_if_evidence,
CR5,cold_resilience,fc_loop,2,True,False,True,2,2,search_properties|get_property_details|check_safety|calculate_commute_cost,,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost,27041.1118,0.0004,0.0000,search_nearby_pois:batch,True,,
CR1,cold_resilience,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,11543.9824,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,3,False,True,True,3,1,search_properties,,search_properties,14616.0883,0.0003,0.0000,,False,room_type_match_if_evidence,
CR3,cold_resilience,fc_loop,3,True,True,True,2,2,check_safety|web_search|get_transport_info,,check_safety|web_search|search_nearby_pois|get_transport_info,27035.3206,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,3,False,False,True,4,3,search_properties|compare_or_rank_areas|web_search,,search_properties|compare_or_rank_areas|web_search,23348.6272,0.0006,0.0000,,True,must_mention_source_if_evidence,
CR5,cold_resilience,fc_loop,3,True,False,True,3,2,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost,,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost|search_nearby_pois,27035.0825,0.0007,0.0000,search_nearby_pois:batch,True,,
