case_id,category,config,repeat,passed,task_completed,grounded_rate,money_grounded_rate,source_coverage,constraints_passed,constraints_total,tools_ok,tools_called,route,latency_ms,cost_usd,error
A14,A_retrieval,routed_models,1,True,True,1.0000,1.0000,1.0000,3,3,True,search_properties,search_properties,55.1948,0.0000,
B8,B_money,routed_models,1,False,True,0.5000,0.5000,0.0000,2,3,False,web_search|web_search|web_search|web_search|web_search,multi_search,19667.4707,0.0006,
B9,B_money,routed_models,1,False,True,0.6667,0.6667,0.6667,2,2,False,web_search|web_search|web_search|web_search|web_search,multi_search,11772.3997,0.0005,
B10,B_money,routed_models,1,False,True,1.0000,1.0000,0.8000,2,2,False,web_search|web_search|web_search|web_search|web_search,multi_search,15884.9295,0.0006,
B11,B_money,routed_models,1,False,True,0.6667,1.0000,0.0000,1,2,True,,reasoning_property,5957.2910,0.0001,
B12,B_money,routed_models,1,True,True,0.5000,0.5000,0.0000,4,4,True,get_property_details,get_property_details,21436.4485,0.0005,
B13,B_money,routed_models,1,False,True,0.9000,0.9000,0.7000,3,4,True,web_search|web_search|web_search|web_search|web_search,multi_search,14814.9217,0.0005,
B14,B_money,routed_models,1,False,True,1.0000,1.0000,0.7500,2,2,False,web_search|web_search|web_search|web_search|web_search,multi_search,21863.7333,0.0008,
B15,B_money,routed_models,1,False,True,0.7500,0.7500,0.1250,3,3,False,web_search|web_search|web_search|web_search|web_search,multi_search,16892.7747,0.0006,
C6,C_commute,routed_models,1,False,True,0.4000,,0.4000,4,5,True,calculate_commute,calculate_commute,4149.1548,0.0001,
C7,C_commute,routed_models,1,False,True,,,,1,4,True,,clarification,900.5926,0.0000,
C8,C_commute,routed_models,1,True,True,,,,3,3,True,get_transport_info,get_transport_info,4149.1300,0.0001,
C9,C_commute,routed_models,1,False,True,0.4000,,0.4000,4,5,True,calculate_commute,calculate_commute,6423.5025,0.0002,
C10,C_commute,routed_models,1,True,True,1.0000,1.0000,1.0000,5,5,True,get_transport_info,get_transport_info,3586.4887,0.0001,
C11,C_commute,routed_models,1,False,True,0.0000,,0.0000,2,4,True,,reasoning_property,2217.4800,0.0001,
C12,C_commute,routed_models,1,False,True,,,,1,4,True,,clarification,893.8182,0.0000,
