case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
H1,H_guard_regression,fc_loop,1,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,9767.9816,0.0002,,,False,,
H2,H_guard_regression,fc_loop,1,False,False,True,4,0,,,search_properties,28557.9664,0.0003,,search_properties:batch,False,must_call_tool,
H3,H_guard_regression,fc_loop,1,True,False,True,4,2,web_search|web_search,,web_search|web_search,14219.2421,0.0003,,,False,,
H4,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,6866.5983,0.0002,0.0000,,False,,
H5,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,9683.9705,0.0005,0.0000,,False,,
H6,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,6366.3142,0.0003,,,False,,
H7,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3630.8736,0.0001,,,False,,
H8,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,859.4650,0.0000,,,False,,
H9,H_guard_regression,fc_loop,1,True,False,True,2,1,get_transport_info|check_transport_cost|check_transport_cost,,get_transport_info|check_transport_cost|check_transport_cost,5707.5499,0.0003,,,False,,
H10,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,28.4883,0.0000,,,False,,
H11,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,24.7924,0.0000,,,False,,
H12,H_guard_regression,fc_loop,1,True,False,True,2,1,search_properties,,search_properties,10703.8573,0.0005,0.0000,,False,,
H13,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,14519.3616,0.0004,1.0000,,False,,
H14,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,2376.6389,0.0001,,,False,,
H1,H_guard_regression,fc_loop,2,True,False,True,4,3,compare_or_rank_areas|web_search|web_search,,compare_or_rank_areas|web_search|web_search,16796.4056,0.0003,,,False,,
H2,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,10184.0960,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,2,True,False,True,4,2,web_search|web_search,,web_search|web_search,14431.1375,0.0003,,,False,,
H4,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,7932.4771,0.0004,0.0000,,False,,
H5,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,7927.6121,0.0002,0.0000,,False,,
H6,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,4012.4857,0.0002,,,False,,
H7,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,4202.7793,0.0002,,,False,,
H8,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1033.1633,0.0000,,,False,,
H9,H_guard_regression,fc_loop,2,True,False,True,2,1,get_transport_info|check_transport_cost|check_transport_cost,,get_transport_info|check_transport_cost|check_transport_cost,5519.0992,0.0002,,,False,,
H10,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,20.1103,0.0000,,,False,,
H11,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,87.8188,0.0000,,,False,,
H12,H_guard_regression,fc_loop,2,True,True,True,2,1,recall_memory,,recall_memory,3142.5276,0.0002,,,False,,
H13,H_guard_regression,fc_loop,2,True,False,True,4,2,search_properties|get_property_details,remember,search_properties|get_property_details|remember,7161.7919,0.0015,1.0000,,False,,
H14,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,2012.2484,0.0001,,,False,,
H1,H_guard_regression,fc_loop,3,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,5343.3856,0.0002,,,False,,
H2,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4665.5704,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,3,True,False,True,4,2,web_search|web_search,,web_search|web_search,13511.0279,0.0003,,,False,,
H4,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,6806.1300,0.0002,0.0000,,False,,
H5,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,8131.7456,0.0002,0.0000,,False,,
H6,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety|check_safety,,check_safety|check_safety,16437.7155,0.0004,,,False,,
H7,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3898.9724,0.0001,,,False,,
H8,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,870.9271,0.0000,,,False,,
H9,H_guard_regression,fc_loop,3,True,False,True,2,1,get_transport_info|check_transport_cost|check_transport_cost,,get_transport_info|check_transport_cost|check_transport_cost,5344.8515,0.0003,,,False,,
H10,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,28.8272,0.0000,,,False,,
H11,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,28.3793,0.0000,,,False,,
H12,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1376.3948,0.0000,,,False,,
H13,H_guard_regression,fc_loop,3,True,True,True,3,1,search_properties,remember,search_properties|remember,6040.2530,0.0013,1.0000,,False,,
H14,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,2296.1403,0.0001,,,False,,
