case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
H1,H_guard_regression,fc_loop,1,True,True,True,3,2,compare_or_rank_areas|search_properties,,compare_or_rank_areas|search_properties,12069.6838,0.0014,,,False,,
H2,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,4428.9185,0.0015,1.0000,,False,,
H3,H_guard_regression,fc_loop,1,True,False,True,4,2,web_search|web_search,,web_search|web_search,12957.6097,0.0003,,,False,,
H4,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,2898.2858,0.0011,,,False,,
H5,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,6847.1022,0.0014,1.0000,,False,,
H6,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,2801.0097,0.0011,,,False,,
H7,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3259.3442,0.0012,,,False,,
H8,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,784.1884,0.0010,,,False,,
H9,H_guard_regression,fc_loop,1,True,False,True,4,3,get_transport_info|check_transport_cost|get_transport_info,,get_transport_info|check_transport_cost|get_transport_info,6971.1302,0.0004,,,False,,
H10,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,18.8036,0.0000,,,False,,
H11,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,16.6643,0.0000,,,False,,
H12,H_guard_regression,fc_loop,1,True,False,True,3,1,search_properties,,search_properties,8121.8085,0.0014,1.0000,,False,,
H13,H_guard_regression,fc_loop,1,True,True,True,3,1,search_properties,remember,search_properties|remember,3934.3718,0.0014,1.0000,,False,,
H14,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1696.7267,0.0001,,,False,,
H1,H_guard_regression,fc_loop,2,True,False,True,5,4,compare_or_rank_areas|search_properties|web_search|web_search|ask_user,,compare_or_rank_areas|search_properties|web_search|web_search|ask_user,13926.6255,0.0006,,,False,,
H2,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,5108.8335,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,2,True,False,True,4,2,web_search|web_search,,web_search|web_search,12798.9682,0.0003,,,False,,
H4,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,4603.9596,0.0004,1.0000,,False,,
H5,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,5052.5481,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,2951.2451,0.0002,,,False,,
H7,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,3306.9846,0.0001,,,False,,
H8,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,782.7911,0.0000,,,False,,
H9,H_guard_regression,fc_loop,2,True,False,True,2,1,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,4287.3486,0.0003,,,False,,
H10,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,17.6692,0.0000,,,False,,
H11,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,15.7560,0.0000,,,False,,
H12,H_guard_regression,fc_loop,2,True,False,True,3,1,search_properties,,search_properties,8031.4457,0.0004,1.0000,,False,,
H13,H_guard_regression,fc_loop,2,True,True,True,3,1,search_properties,remember,search_properties|remember,5068.3737,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1568.1848,0.0001,,,False,,
H1,H_guard_regression,fc_loop,3,True,True,True,3,2,compare_or_rank_areas|search_properties,,compare_or_rank_areas|search_properties,7923.1160,0.0004,,,False,,
H2,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4858.3567,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,3,True,False,True,4,2,web_search|web_search,,web_search|web_search,12594.6652,0.0003,,,False,,
H4,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,2837.7828,0.0001,,,False,,
H5,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4316.0991,0.0004,1.0000,,False,,
H6,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3154.9491,0.0002,,,False,,
H7,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3367.2658,0.0001,,,False,,
H8,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,782.3682,0.0000,,,False,,
H9,H_guard_regression,fc_loop,3,True,False,True,4,3,get_transport_info|check_transport_cost|get_transport_info,,get_transport_info|check_transport_cost|get_transport_info,6926.9059,0.0003,,,False,,
H10,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,16.6481,0.0000,,,False,,
H11,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,16.0303,0.0000,,,False,,
H12,H_guard_regression,fc_loop,3,True,False,True,4,2,search_properties|calculate_commute_cost|compare_or_rank_areas,,search_properties|calculate_commute_cost|compare_or_rank_areas,13990.3535,0.0007,1.0000,,False,,
H13,H_guard_regression,fc_loop,3,True,True,True,3,1,search_properties,remember,search_properties|remember,4917.1055,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1547.9911,0.0001,,,False,,
