case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
CR1,cold_resilience,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,11854.2581,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,1,True,True,True,3,1,search_properties,,search_properties,9508.9504,0.0002,0.0000,,False,,
CR3,cold_resilience,fc_loop,1,True,False,True,1,1,check_safety|get_weather,,check_safety|search_nearby_pois|get_weather,27028.5002,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,1,True,False,True,3,3,compare_or_rank_areas|search_properties|web_search|web_search,,compare_or_rank_areas|search_properties|web_search|web_search,27022.5553,0.0004,0.0000,,True,,
CR5,cold_resilience,fc_loop,1,True,False,True,3,1,search_properties,,search_properties,19820.2820,0.0006,0.0000,,False,,
CR1,cold_resilience,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,9070.8767,0.0002,0.0000,,False,,
CR2,cold_resilience,fc_loop,2,True,True,True,3,1,search_properties,,search_properties,8950.4060,0.0002,0.0000,,False,,
CR3,cold_resilience,fc_loop,2,True,True,True,2,2,check_safety|get_weather|web_search|get_transport_info,,check_safety|get_weather|web_search|search_nearby_pois|get_transport_info,27031.2979,0.0003,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,2,True,False,True,5,4,search_properties|compare_or_rank_areas|web_search|web_search|compare_or_rank_areas,,search_properties|compare_or_rank_areas|web_search|web_search|compare_or_rank_areas,22160.6907,0.0007,0.0000,,True,,
CR5,cold_resilience,fc_loop,2,True,False,True,3,2,search_properties|get_property_details|check_safety|search_nearby_pois,calculate_commute|calculate_commute_cost,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute|calculate_commute_cost,27031.1291,0.0007,0.0000,,True,,
CR1,cold_resilience,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,11357.3849,0.0004,0.0000,,False,,
CR2,cold_resilience,fc_loop,3,True,True,True,3,1,search_properties,,search_properties,9795.0473,0.0002,0.0000,,False,,
CR3,cold_resilience,fc_loop,3,True,True,True,1,1,check_safety|web_search,,check_safety|web_search|search_nearby_pois,27028.5385,0.0001,,search_nearby_pois:batch,True,,
CR4,cold_resilience,fc_loop,3,True,False,True,5,3,search_properties|compare_or_rank_areas|web_search|web_search,,search_properties|compare_or_rank_areas|web_search|web_search,26165.4885,0.0009,0.0000,,True,,
CR5,cold_resilience,fc_loop,3,True,False,True,3,2,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost,,search_properties|get_property_details|check_safety|search_nearby_pois|calculate_commute_cost|search_nearby_pois,27030.0005,0.0007,0.0000,search_nearby_pois:batch,True,,
