case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
H1,H_guard_regression,fc_loop,1,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,10910.5774,0.0012,,,False,,
H2,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,6283.1307,0.0014,1.0000,,False,,
H3,H_guard_regression,fc_loop,1,True,False,True,6,4,web_search|web_search|compare_or_rank_areas|web_search,,web_search|web_search|compare_or_rank_areas|web_search,19011.3172,0.0004,,,False,,
H4,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,6666.5426,0.0013,1.0000,,False,,
H5,H_guard_regression,fc_loop,1,True,True,True,2,1,search_properties,,search_properties,6740.8056,0.0013,1.0000,,False,,
H6,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3687.6396,0.0012,,,False,,
H7,H_guard_regression,fc_loop,1,True,True,True,2,1,check_safety,,check_safety,3709.4078,0.0012,,,False,,
H8,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1380.6897,0.0010,,,False,,
H9,H_guard_regression,fc_loop,1,True,False,True,3,1,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,7734.4225,0.0004,,,False,,
H10,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,24.6036,0.0000,,,False,,
H11,H_guard_regression,fc_loop,1,True,True,True,0,0,,,,22.9967,0.0000,,,False,,
H12,H_guard_regression,fc_loop,1,True,False,True,3,1,search_properties,,search_properties,8127.6342,0.0014,1.0000,,False,,
H13,H_guard_regression,fc_loop,1,True,True,True,3,1,search_properties,remember,search_properties|remember,5725.6149,0.0014,1.0000,,False,,
H14,H_guard_regression,fc_loop,1,True,True,True,1,0,,,,1588.4767,0.0000,,,False,,
H1,H_guard_regression,fc_loop,2,True,False,True,4,3,compare_or_rank_areas|web_search|web_search,,compare_or_rank_areas|web_search|web_search,19037.9058,0.0005,,,False,,
H2,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,5860.4104,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,2,True,False,True,7,5,web_search|web_search|compare_or_rank_areas|web_search|web_search,,web_search|web_search|compare_or_rank_areas|web_search|web_search,23282.5377,0.0005,,,False,,
H4,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,2999.7644,0.0003,1.0000,,False,,
H5,H_guard_regression,fc_loop,2,True,True,True,2,1,search_properties,,search_properties,5295.1905,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,2641.4117,0.0002,,,False,,
H7,H_guard_regression,fc_loop,2,True,True,True,2,1,check_safety,,check_safety,3245.9764,0.0001,,,False,,
H8,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1054.9737,0.0000,,,False,,
H9,H_guard_regression,fc_loop,2,True,True,True,2,1,get_transport_info|get_transport_info,,get_transport_info|get_transport_info,4435.0324,0.0003,,,False,,
H10,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,22.6335,0.0000,,,False,,
H11,H_guard_regression,fc_loop,2,True,True,True,0,0,,,,26.0978,0.0000,,,False,,
H12,H_guard_regression,fc_loop,2,True,False,True,3,1,search_properties,,search_properties,7618.6086,0.0004,1.0000,,False,,
H13,H_guard_regression,fc_loop,2,True,True,True,3,1,search_properties,remember,search_properties|remember,4866.7508,0.0002,1.0000,,False,,
H14,H_guard_regression,fc_loop,2,True,True,True,1,0,,,,1589.0432,0.0000,,,False,,
H1,H_guard_regression,fc_loop,3,True,True,True,2,1,compare_or_rank_areas,,compare_or_rank_areas,7108.6128,0.0003,,,False,,
H2,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,5045.3168,0.0004,1.0000,,False,,
H3,H_guard_regression,fc_loop,3,True,False,True,5,3,web_search|web_search|compare_or_rank_areas,,web_search|web_search|compare_or_rank_areas,15481.3274,0.0003,,,False,,
H4,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,3186.7932,0.0001,1.0000,,False,,
H5,H_guard_regression,fc_loop,3,True,True,True,2,1,search_properties,,search_properties,4546.9345,0.0002,1.0000,,False,,
H6,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3348.8579,0.0002,,,False,,
H7,H_guard_regression,fc_loop,3,True,True,True,2,1,check_safety,,check_safety,3144.3437,0.0001,,,False,,
H8,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,957.5181,0.0000,,,False,,
H9,H_guard_regression,fc_loop,3,True,False,True,2,1,get_transport_info|check_transport_cost,,get_transport_info|check_transport_cost,4303.2691,0.0002,,,False,,
H10,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,28.2385,0.0000,,,False,,
H11,H_guard_regression,fc_loop,3,True,True,True,0,0,,,,28.6676,0.0000,,,False,,
H12,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,990.2756,0.0000,,,False,,
H13,H_guard_regression,fc_loop,3,True,True,True,3,1,search_properties,remember,search_properties|remember,5800.5528,0.0003,1.0000,,False,,
H14,H_guard_regression,fc_loop,3,True,True,True,1,0,,,,1284.9858,0.0000,,,False,,
